# Portfolio Backtesting CSV Output
# Generated by PortfolioManager for user 1000
# Columns:
#   timestamp: ISO 8601 timestamp (YYYY-MM-DDTHH:MM:SS.nnnnnnnnnZ)
#   position: Net position (positive=long, negative=short, 0=flat)
#   current_price: Latest market price in dollars (converted from ticks)
#   cost: Cost basis per unit in dollars
#   unrealized_pnl: Mark-to-market P&L for current position in dollars
#   realized_pnl: Cumulative realized P&L from closed trades in dollars
#   total_pnl: Total P&L (realized + unrealized) in dollars
#   total_trades: Number of trade executions involving tracked orders
#   position_value: Current market value of position in dollars

timestamp,position,current_price,average_cost,unrealized_pnl,realized_pnl,total_pnl,total_trades,position_value
2024-06-28T15:30:00.082156638Z,2,5558.30,5558.30,0.00,0.00,0.00,1,11116.60,
2024-06-28T15:30:00.082170549Z,3,5558.30,5558.30,0.00,0.00,0.00,2,16674.90,
2024-06-28T15:30:00.082170549Z,4,5558.31,5558.30,0.03,0.00,0.03,3,22233.24,
2024-06-28T15:30:00.082228761Z,6,5558.31,5558.31,0.03,0.00,0.03,4,33349.86,
2024-06-28T15:30:00.082228761Z,9,5558.32,5558.31,0.09,0.00,0.09,5,50024.88,
2024-06-28T15:30:00.082242334Z,10,5558.33,5558.31,0.18,0.00,0.18,6,55583.30,
2024-06-28T15:30:00.082274584Z,11,5558.33,5558.31,0.18,0.00,0.18,7,61141.63,
2024-06-28T15:30:00.082310505Z,12,5558.33,5558.31,0.18,0.00,0.18,8,66699.96,
2024-06-28T15:30:00.082324948Z,13,5558.34,5558.32,0.30,0.00,0.30,9,72258.42,
2024-06-28T15:30:00.082360685Z,14,5558.34,5558.32,0.30,0.00,0.30,10,77816.76,
2024-06-28T15:30:00.082386611Z,15,5558.34,5558.32,0.30,0.00,0.30,11,83375.10,
2024-06-28T15:30:00.082392039Z,17,5558.35,5558.32,0.45,0.00,0.45,12,94491.95,
2024-06-28T15:30:00.082403097Z,18,5558.35,5558.32,0.45,0.00,0.45,13,100050.30,
2024-06-28T15:30:00.082403097Z,20,5558.36,5558.33,0.63,0.00,0.63,14,111167.20,
2024-06-28T15:30:00.082410244Z,21,5558.36,5558.33,0.63,0.00,0.63,15,116725.56,
2024-06-28T15:30:00.082410244Z,22,5558.37,5558.33,0.84,0.00,0.84,16,122284.14,
2024-06-28T15:30:00.082433668Z,24,5558.37,5558.33,0.84,0.00,0.84,17,133400.88,
2024-06-28T15:30:00.082529128Z,25,5558.38,5558.34,1.08,0.00,1.08,18,138959.50,
2024-06-28T15:30:00.082549837Z,26,5558.38,5558.34,1.08,0.00,1.08,19,144517.88,
2024-06-28T15:30:00.082574515Z,27,5558.38,5558.34,1.08,0.00,1.08,20,150076.26,
2024-06-28T15:30:00.082574515Z,30,5558.39,5558.34,1.35,0.00,1.35,21,166751.70,
2024-06-28T15:30:00.082574515Z,31,5558.40,5558.35,1.65,0.00,1.65,22,172310.40,
2024-06-28T15:30:00.082579814Z,32,5558.40,5558.35,1.65,0.00,1.65,23,177868.80,
2024-06-28T15:30:00.088764913Z,33,5558.40,5558.35,1.65,0.00,1.65,24,183427.20,
2024-06-28T15:30:00.088764913Z,35,5558.41,5558.35,1.98,0.00,1.98,25,194544.35,
2024-06-28T15:30:00.088774042Z,36,5558.41,5558.35,1.98,0.00,1.98,26,200102.76,
2024-06-28T15:30:00.088774042Z,37,5558.42,5558.36,2.34,0.00,2.34,27,205661.54,
2024-06-28T15:30:00.090570167Z,38,5558.42,5558.36,2.34,0.00,2.34,28,211219.96,
2024-06-28T15:30:00.135578760Z,39,5558.42,5558.36,2.34,0.00,2.34,29,216778.38,
2024-06-28T15:30:00.135578760Z,40,5558.43,5558.36,2.73,0.00,2.73,30,222337.20,
2024-06-28T15:30:00.135868999Z,42,5558.43,5558.36,2.73,0.00,2.73,31,233454.06,
2024-06-28T15:30:00.135868999Z,45,5558.44,5558.37,3.15,0.00,3.15,32,250129.80,
2024-06-28T15:30:00.135972010Z,46,5558.44,5558.37,3.15,0.00,3.15,33,255688.24,
2024-06-28T15:30:00.135979388Z,47,5558.45,5558.37,3.61,0.00,3.61,34,261247.15,
2024-06-28T15:30:00.141428059Z,49,5558.45,5558.38,3.61,0.00,3.61,35,272364.05,
2024-06-28T15:30:00.141433849Z,50,5558.45,5558.38,3.61,0.00,3.61,36,277922.50,
2024-06-28T15:30:00.141443648Z,52,5558.46,5558.38,4.11,0.00,4.11,37,289039.92,
2024-06-28T15:30:00.141522781Z,53,5558.46,5558.38,4.11,0.00,4.11,38,294598.38,
2024-06-28T15:30:00.141559848Z,54,5558.46,5558.38,4.11,0.00,4.11,39,300156.84,
2024-06-28T15:30:00.141622981Z,55,5558.47,5558.39,4.65,0.00,4.65,40,305715.85,
2024-06-28T15:30:00.152496992Z,56,5558.47,5558.39,4.65,0.00,4.65,41,311274.32,
2024-06-28T15:30:00.152841947Z,57,5558.47,5558.39,4.65,0.00,4.65,42,316832.79,
2024-06-28T15:30:00.304151682Z,53,5558.32,5558.39,-3.63,-0.27,-3.90,43,294590.96,
2024-06-28T15:30:00.304489060Z,52,5558.32,5558.39,-3.56,-0.34,-3.90,44,289032.64,
2024-06-28T15:30:00.304489060Z,51,5558.32,5558.39,-3.49,-0.41,-3.90,45,283474.32,
