# Portfolio Backtesting CSV Output
# Generated by PortfolioManager for user 1000
# Columns:
#   timestamp: ISO 8601 timestamp (YYYY-MM-DDTHH:MM:SS.nnnnnnnnnZ)
#   position: Net position (positive=long, negative=short, 0=flat)
#   current_price: Latest market price in dollars (converted from ticks)
#   cost: Cost basis per unit in dollars
#   unrealized_pnl: Mark-to-market P&L for current position in dollars
#   realized_pnl: Cumulative realized P&L from closed trades in dollars
#   total_pnl: Total P&L (realized + unrealized) in dollars
#   total_trades: Number of trade executions involving tracked orders
#   position_value: Current market value of position in dollars

timestamp,position,current_price,average_cost,unrealized_pnl,realized_pnl,total_pnl,total_trades,position_value
2024-06-28T15:30:00.053251822Z,1,5558.34,5558.34,0.00,0.00,0.00,1,5558.34,
2024-06-28T15:30:00.053251822Z,2,5558.34,5558.34,0.00,0.00,0.00,2,11116.68,
2024-06-28T15:30:00.058131672Z,3,5558.35,5558.34,0.02,0.00,0.02,3,16675.05,
2024-06-28T15:30:00.058131672Z,4,5558.35,5558.35,0.02,0.00,0.02,4,22233.40,
2024-06-28T15:30:00.060923966Z,5,5558.36,5558.35,0.06,0.00,0.06,5,27791.80,
2024-06-28T15:30:00.060923966Z,6,5558.36,5558.35,0.06,0.00,0.06,6,33350.16,
2024-06-28T15:30:00.062661059Z,7,5558.37,5558.35,0.12,0.00,0.12,7,38908.59,
2024-06-28T15:30:00.062661059Z,8,5558.37,5558.35,0.12,0.00,0.12,8,44466.96,
2024-06-28T15:30:00.066704982Z,9,5558.38,5558.36,0.20,0.00,0.20,9,50025.42,
2024-06-28T15:30:00.066704982Z,10,5558.38,5558.36,0.20,0.00,0.20,10,55583.80,
2024-06-28T15:30:00.082156638Z,11,5558.39,5558.36,0.30,0.00,0.30,11,61142.29,
2024-06-28T15:30:00.082156638Z,12,5558.40,5558.37,0.41,0.00,0.41,12,66700.80,
2024-06-28T15:30:00.082170549Z,13,5558.41,5558.37,0.53,0.00,0.53,13,72259.33,
2024-06-28T15:30:00.082170549Z,14,5558.42,5558.37,0.66,0.00,0.66,14,77817.88,
2024-06-28T15:30:00.082228761Z,16,5558.43,5558.38,0.80,0.00,0.80,15,88934.88,
2024-06-28T15:30:00.082228761Z,18,5558.44,5558.39,0.96,0.00,0.96,16,100051.92,
2024-06-28T15:30:00.082228761Z,19,5558.45,5558.39,1.14,0.00,1.14,17,105610.55,
2024-06-28T15:30:00.082242334Z,20,5558.45,5558.39,1.14,0.00,1.14,18,111169.00,
2024-06-28T15:30:00.082274584Z,21,5558.46,5558.40,1.34,0.00,1.34,19,116727.66,
2024-06-28T15:30:00.082310505Z,22,5558.46,5558.40,1.34,0.00,1.34,20,122286.12,
2024-06-28T15:30:00.082324948Z,23,5558.47,5558.40,1.56,0.00,1.56,21,127844.81,
2024-06-28T15:30:00.082360685Z,24,5558.47,5558.40,1.56,0.00,1.56,22,133403.28,
2024-06-28T15:30:00.082386611Z,25,5558.48,5558.41,1.80,0.00,1.80,23,138962.00,
2024-06-28T15:30:00.082392039Z,26,5558.48,5558.41,1.80,0.00,1.80,24,144520.48,
